user_id,user_username,user_password,user_first_name,user_last_name,user_dob,user_added_date,user_last_updated_date,user_user_status_id,user_user_type_id
1,mmcgowan,WM93,Matt,McGowan,01/02/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
2,mcarroll,BC63,Mark,Carroll,01/03/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
3,jcarroll,KY28,Jayden,Carroll,01/04/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
4,adejong,TV72,Aaron,DeJong,01/05/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
5,aschmetzer,XT50,Andrew,Schmetzer,01/06/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
6,scrozier,GY34,Scott,Crozier,01/07/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
7,rcorbett,AB55,Riley,Corbett,01/08/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
8,nirvin,AL43,Nathon,Irvin,01/09/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
9,smcgowan,PJ15,Stu,McGowan,01/10/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
10,mfennessy,WS50,Mitch,Fennessy,01/11/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
11,landerson,QS80,Lucy,Anderson,01/12/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
12,mmazzocchi,VO75,Mick,Mazzocchi,01/13/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
13,clambert,OK77,Corey,Lambert,01/14/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
14,jgaynor,MQ71,Jake,Gaynor,01/15/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
15,rhall,LH18,Rick,Hall,01/16/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
16,kmansell,SG50,Ken,Mansell,01/17/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
17,shargreave,JG76,Sam,Hargreave,01/18/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
18,jgarlett,SN13,Jeff,Garlett,01/19/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
19,dgardiner,DC30,Dave,Gardiner,01/20/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
20,cbeck,ZC50,Chloe,Beck,01/21/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
21,smurphy,RP16,Steve,Murphy,01/22/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
22,tgroves,WC60,Tom,Groves,01/23/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
23,nrichards,SB57,Nathan,Richards,01/24/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
24,jhodge,AU96,Jade,Hodge,01/25/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
25,jsullivan,HZ22,James,Sullivan,01/26/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
26,njones,BK89,Nathan,Jones,01/27/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
27,tpound,PK67,Tony,Pound,01/28/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
28,jseymour,RH71,Jimmy,Seymour,01/29/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
29,jbroadbent,KF19,Jamie,Broadbent,01/30/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
30,dclayton,PJ49,Daryl,Clayton,01/31/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
31,tdoyle,ZB89,Travis,Doyle,02/01/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
32,jdoyle,ZZ76,Jye,Doyle,02/02/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
33,jodwyer,BT63,Jon,O'Dwyer,02/03/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
34,mwooden,VO50,Matt,Wooden,02/04/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
35,gwhelan,DO22,Greg,Whelan,02/05/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
36,dhook,EL51,David,Hook,02/06/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
37,hwheatley,WP56,Henry,Wheatley,02/07/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
38,mthompson,SN47,Mike,Thompson,02/08/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
39,mroughan,BG17,Matt,Roughan,02/09/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
40,deverett,JE39,Darren,Everett,02/10/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
41,pspratt,OP19,Phil,Spratt,02/11/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
42,jsimpson,DJ73,Jorji,Simpson,02/12/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
43,bmannering,TC30,Bronte,Mannering,02/13/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
44,bjones,BW16,Baylee,Jones,02/14/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
45,kbrown,SY37,Kieran,Brown,02/15/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
46,atidball,OP23,Anthony,Tidball,02/16/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
47,ssmitt,HR17,Shannon,Smitt,02/17/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
48,awiles,QI57,Aaron,Wiles,02/18/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
49,glaing,OA68,Gary,Laing,02/19/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
50,wspencer,XG93,Will,Spencer,02/20/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
51,btully,JT98,Britt,Tully,02/21/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
52,jwhite,UQ55,James,White,02/22/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
53,lchisholm,MB35,Leyton,Chisholm,02/23/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
54,swithers,FC91,Steve,Withers,02/24/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
55,ebishop,PK74,Ellie,Bishop,02/25/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
56,phighmore,YD73,Paul,Highmore,02/26/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
57,cmahar,DR90,Chris,Mahar,02/27/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
58,jludica,GM24,Jordan,Ludica,02/28/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
59,aallen,WG90,Amber,Allen,02/29/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
60,ablencowe,SM82,Andrew,Blencowe,03/01/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
61,gcannon,EY17,Guy,Cannon,03/02/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
62,adwyer,JF28,Amy,Dwyer,03/03/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
63,mhorne,IJ41,Michael,Horne,03/04/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
64,apriest,UA60,Ash,Priest,03/05/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
65,dlarkins,CP78,Dion,Larkins,03/06/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
66,mwallis,DT70,Mitch,Wallis,03/07/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
67,dneil,IV58,David,Neil,03/08/96 12:00 AM,28/04/2021 00:00:00,28/04/2021 00:00:00,1,1
